"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"BAT1";"";"BATTERY9V";"BATTCON_9V";"Battery Holders";"";
"C1";".1 uF";"CAP0805";"0805";"Capacitor";"";
"C2";".1 uF";"CAP0805";"0805";"Capacitor";"";
"C3";".1 uF";"CAP0805";"0805";"Capacitor";"";
"C4";".1 uF";"CAP0805";"0805";"Capacitor";"";
"C5";".1 uF";"CAP0805";"0805";"Capacitor";"";
"C6";"10 uF";"CAP0805";"0805";"Capacitor";"";
"C7";"1 uF";"CAP0805";"0805";"Capacitor";"";
"C8";"100 uF";"CAP0805";"0805";"Capacitor";"";
"C9";".1 uF";"CAP0805";"0805";"Capacitor";"";
"JP1";"";"M041X04_NO_SILK";"1X04_NO_SILK";"Header 4";"";
"LED1";"WHITE";"LED1206";"LED-1206";"LEDs";"";
"LED2";"BLUE";"LED1206";"LED-1206";"LEDs";"";
"LED4";"RED";"LED1206";"LED-1206";"LEDs";"";
"Q1";"";"MOSFET-NWAVE";"SOT23-W";"N-Channel Mosfet";"";
"R1";"470";"RESISTOR0805-RES";"0805";"Resistor";"";
"R2";"470";"RESISTOR0805-RES";"0805";"Resistor";"";
"R3";"560";"RESISTOR0805-RES";"0805";"Resistor";"";
"R4";"330";"RESISTOR0805-RES";"0805";"Resistor";"";
"R5";"470";"RESISTOR0805-RES";"0805";"Resistor";"";
"R6";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";
"R7";"330";"RESISTOR0805-RES";"0805";"Resistor";"";
"R8";"470";"RESISTOR0805-RES";"0805";"Resistor";"";
"R9";"470";"RESISTOR0805-RES";"0805";"Resistor";"";
"R10";"470";"RESISTOR0805-RES";"0805";"Resistor";"";
"S1";"SWITCH-MOMENTARY-2";"SWITCH-MOMENTARY-2";"TACTILE_PANISONIC";"Various NO switches- pushbuttons, reed, etc";"";
"S2";"SWITCH-MOMENTARY-2";"SWITCH-MOMENTARY-2";"TACTILE_PANISONIC";"Various NO switches- pushbuttons, reed, etc";"";
"S3";"SWITCH-MOMENTARY-2";"SWITCH-MOMENTARY-2";"TACTILE_PANISONIC";"Various NO switches- pushbuttons, reed, etc";"";
"S4";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"";
"U$1";"MSP430G2XX3TSSOP";"MSP430G2XX3TSSOP";"PW20";"MSP430G2XX3";"";
"U$3";"NOKIA5110";"NOKIA5110";"NOKIA5110";"";"";
"U2";"ADXL335";"ADXL335";"LFCSP-16";"3-axis, 3g accelerometer, analog out";"";
"VOLTAGE-REG";"MOSFET-NCHANNELFDD8780";"MOSFET-NCHANNELFDD8780";"DPAK";"Common NMOSFET Parts";"TRANS-09984";
